date,day_label,session_start_time,session_end_time,item_time,event_type,session_title,session_id,session_url,room,title,item_id,item_url,source
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Scaling Prompt Synthesis for Large Language Model Reasoning,64164,https://icml.cc/virtual/2026/poster/64164,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Perceptual Flow Network for Visually Grounded Reasoning,65071,https://icml.cc/virtual/2026/poster/65071,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Reasoning Compartmentalization: Bridging the Concretization Gap via Abstraction-based Routing,64047,https://icml.cc/virtual/2026/poster/64047,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,PLANTAIN: Plan-Answer Interleaved Reasoning,61954,https://icml.cc/virtual/2026/poster/61954,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,"On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models",63850,https://icml.cc/virtual/2026/poster/63850,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Modeling Hierarchical Thinking in Large Reasoning Models,64487,https://icml.cc/virtual/2026/poster/64487,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,EDCO: Dynamic Curriculum Orchestration for Domain-specific Large Language Model Fine-tuning,64433,https://icml.cc/virtual/2026/poster/64433,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,LARFT: Closing the Cognition-Action Gap for Length Instruction Following in Large Language Models,63927,https://icml.cc/virtual/2026/poster/63927,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,HyPER: Bridging Exploration and Exploitation for Scalable LLM Reasoning with Hypothesis Path Expansion and Reduction,65181,https://icml.cc/virtual/2026/poster/65181,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,How to Fine-Tune a Reasoning Model? A Teacher–Student Cooperation Framework to Synthesize Student-Consistent SFT Data,61070,https://icml.cc/virtual/2026/poster/61070,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,HGMem: Hypergraph-based Working Memory to Improve Multi-step RAG for Long-Context Complex Relational Modeling,62721,https://icml.cc/virtual/2026/poster/62721,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,From Seeing to Thinking: Decoupling Perception and Reasoning Improves Post-Training of Vision-Language Models,61345,https://icml.cc/virtual/2026/poster/61345,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,DocVAL: Validated Chain-of-Thought Distillation for Grounded Document VQA,63260,https://icml.cc/virtual/2026/poster/63260,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Exploring Relational Reasoning Capabilities in LLMs with REL,66314,https://icml.cc/virtual/2026/poster/66314,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Didactic to Constructive: Turning Expert Solutions into Learnable Reasoning,64843,https://icml.cc/virtual/2026/poster/64843,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,DTKG: Dual-Track Knowledge Graph-Verified Reasoning Framework for Multi-Hop QA,66752,https://icml.cc/virtual/2026/poster/66752,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Curriculum-Guided Layer Scaling for Language Model Pretraining,63300,https://icml.cc/virtual/2026/poster/63300,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,ConPress: Learning Efficient Reasoning from Multi-Question Contextual Pressure,61485,https://icml.cc/virtual/2026/poster/61485,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Beyond Scalars: Evaluating and Understanding LLM Reasoning via Geometric Progress and Stability,66033,https://icml.cc/virtual/2026/poster/66033,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,"Short Chains, Deep Thoughts: Balancing Reasoning Efficiency and Intra-Segment Capability via Split-Merge Optimization",64198,https://icml.cc/virtual/2026/poster/64198,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Teaching Models to Teach Themselves: Reasoning at the Edge of Learnability,65098,https://icml.cc/virtual/2026/poster/65098,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Deep networks learn to parse uniform-depth context-free languages from local statistics,61860,https://icml.cc/virtual/2026/poster/61860,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Causal Matrix Completion under Multiple Treatments via Mixed Synthetic Nearest Neighbors,64884,https://icml.cc/virtual/2026/poster/64884,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Multi-Accurate CATE is Robust to Unknown Covariate Shifts,68775,https://icml.cc/virtual/2026/poster/68775,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Use What You Know: Causal Foundation Models with Partial Graphs,61982,https://icml.cc/virtual/2026/poster/61982,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Unveiling Prior-data Fitted Networks on Causal Effect Estimation: Pre-training or Finetuning?,63252,https://icml.cc/virtual/2026/poster/63252,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Uncovering Bias Mechanisms in Observational Studies,66812,https://icml.cc/virtual/2026/poster/66812,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Treatment Responder Classification with Abstention,63541,https://icml.cc/virtual/2026/poster/63541,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Modeling Covariate Transition for Efficient Estimation of Longitudinal Treatment Effects in Randomized Experiments,61852,https://icml.cc/virtual/2026/poster/61852,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Relational Structural Causal Models,63521,https://icml.cc/virtual/2026/poster/63521,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Robust Causal Discovery in Real-World Time Series with Power-Laws,66032,https://icml.cc/virtual/2026/poster/66032,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Spatial Deconfounder: Interference-Aware Deconfounding for Spatial Causal Inference,62870,https://icml.cc/virtual/2026/poster/62870,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,"Many Experiments, Few Repetitions, Unpaired Data, and Sparse Effects: Is Causal Inference Possible?",62411,https://icml.cc/virtual/2026/poster/62411,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Interventional Processes For Causal Uncertainty Quantification,65599,https://icml.cc/virtual/2026/poster/65599,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Identifiable Nonlinear Differentiable Causal Discovery via Independence and Adaptive Group Sparsity,64429,https://icml.cc/virtual/2026/poster/64429,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Evaluating bivariate causal statements based on mutual compatibility,62998,https://icml.cc/virtual/2026/poster/62998,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Distributionally Robust Causal Abstractions,61894,https://icml.cc/virtual/2026/poster/61894,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,DISCO: Mitigating Bias in Deep Learning with Conditional Distance Correlation,63808,https://icml.cc/virtual/2026/poster/63808,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,Conditional Distributional Treatment Effects: Doubly Robust Estimation and Testing,64614,https://icml.cc/virtual/2026/poster/64614,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,CausalProfiler: Generating Synthetic Benchmarks for Rigorous and Transparent Evaluation of Causal Machine Learning,66736,https://icml.cc/virtual/2026/poster/66736,https://icml.cc/virtual/2026/calendar
